key,0,1
12,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_020","そんで、この街の事業についてなんだが……
「復興共同作業」ってやつの説明を忘れててな。"
13,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_030","「復興共同作業」ってのは、
職人たちによる大規模な工事のことだ。
物資が集まりしだい、着工することになってる。"
14,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_040","とは言っても、予告なしに始めちまっても人手は集まらねぇ。
だから、この<Sheet(EObj,2010775,0)/>に、
事前に予告を貼りだすことになってんだ。"
15,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_050","ま、ちょくちょく<Sheet(EObj,2010775,0)/>を見てくれりゃ、
まちがいはねぇってことさな。
時間があえば、協力してくれるとありがてぇ。"
16,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_060","んなわけで、あんたの活躍を期待してるぜ！
英雄でありながら、復興にも参加してくれるなんて奇特な、
<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さんよ！"
17,"TEXT_CTSHWDINFORMATION_00633_SYSTEM_040_070","「復興共同作業」は、
クラフター、ギャザラーのクラスで参加できる、
蒼天街内のコンテンツです。"
18,"TEXT_CTSHWDINFORMATION_00633_SYSTEM_040_080","復興に必要な物資が必要数納品されると、
<Sheet(EObj,2010775,0)/>に実施日時が告知されますので、
復興の進捗を確認し、参加してみましょう！"
19,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_050_000","もちろん、いずれはこの奥も建て直していくつもりだが、
それには途方もない時間と、人手と物資が必要だ。
焦らず、目の前のことからひとつずつ、だな。"
20,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_050_010","ま、なにはともあれ、
とりあえずこの広場をどうにかしないとな。
拠点が様にならねぇと、納品のやる気も出ねぇってもんだろ？"
21,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_060_000","よう、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>！
「復興共同作業」の期間中だぞ！
いまは窓口周辺の施設を建設中だ、あんたも協力頼むぜ！"
22,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_070_000","告知を見て、きてくれた職人がたのおかげで、
ポットキンたち窓口の小屋が完成したぜ！
これでちったぁ、仕事が楽になるだろ。"
23,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_070_010","これからもっと人が増えていくことだろうし、
西側にも小屋がほしいところだな。
あんたも、そう思わないか？"
24,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_080_000","いまは、西側の小屋を建てる、
「復興共同作業」の真っ最中さ！
復興事業の人員を増やしていくため、よろしく頼むぜ！"
25,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_090_000","フランセル坊ちゃんたちが、
新しい事業計画をたてているらしい。
西側の小屋にも、近いうちに人が入るだろうよ。"
26,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_090_010","人手も集まりつつあるし、この広場も整ってきた。
職人や土木の作業者が少しでも働きやすい、
環境をつくっていかなきゃいかんなぁ。"
27,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_100_000","おっ、ちょうどいいところに！
この広場に置いてある用具を整える、
「復興共同作業」中なんで、あんたも参加してってくれよ！"
28,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_110_000","よう、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>。
職人がたのおかげで、この広場の修繕は完了してるぜ。"
29,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_110_010","次の事業計画が決まるまで、共同作業なんかはないが、
引き続き物資の納品は受け付けてる。
今後も協力を頼むぜ！"
30,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_120_000","そうだ、「ポットキン」の話はよく聞いてくれな。
資材の調達や納品に協力してくれるなら、
聞きもらしがあると困るからよ。"
