key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
8,"鍛冶師",50,"クラフタースクリップ:赤貨","ミスライトカッツバルゲル",1,False,230,180,130,75,13,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトパタ",1,False,230,180,130,75,15,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトウォーアクス",1,False,230,180,130,75,13,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトプジオ",1,False,230,180,130,75,15,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトクレイモア",1,False,230,180,130,75,15,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトアークウィバス",1,False,230,180,130,75,17,"MasterpieceSupplyMultiplier#1",51,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
9,"鍛冶師",52,"クラフタースクリップ:赤貨","ミスライトラウンドソー",1,False,280,220,160,75,16,"MasterpieceSupplyMultiplier#1",52,0,"ミスライトラピダリーハンマー",1,False,280,220,160,75,11,"MasterpieceSupplyMultiplier#1",52,0,"ミスライトフレイムタン",1,False,340,270,190,75,26,"MasterpieceSupplyMultiplier#1",53,0,"ミスライトジャマダル",1,False,340,270,190,75,26,"MasterpieceSupplyMultiplier#1",53,0,"ミスライトツヴァイハンダー",1,False,340,270,190,75,35,"MasterpieceSupplyMultiplier#1",53,0,"ミスライトマスケトン",1,False,340,270,190,75,35,"MasterpieceSupplyMultiplier#1",53,0,"ミスライトプライヤー",1,False,340,270,190,75,22,"MasterpieceSupplyMultiplier#1",53,0,"ミスライトサイズ",1,False,340,270,190,75,19,"MasterpieceSupplyMultiplier#1",53,0
10,"鍛冶師",54,"クラフタースクリップ:赤貨","チタンアクス",1,False,390,300,220,75,32,"MasterpieceSupplyMultiplier#1",54,0,"チタンプジオ",1,False,390,300,220,75,32,"MasterpieceSupplyMultiplier#1",54,0,"ハードシルバーソー",1,False,430,340,240,75,31,"MasterpieceSupplyMultiplier#1",55,0,"チタン・クロスペインハンマー",1,False,430,340,240,75,27,"MasterpieceSupplyMultiplier#1",55,0,"チタンアーモラーハンマー",1,False,430,340,240,75,27,"MasterpieceSupplyMultiplier#1",55,0,"ハードシルバー・ゴールドスミスハンマー",1,False,430,340,240,75,29,"MasterpieceSupplyMultiplier#1",55,0,"チタン・レザーワーカーナイフ",1,False,430,340,240,75,28,"MasterpieceSupplyMultiplier#1",55,0,"ハードシルバードラブラ",1,False,430,340,240,75,33,"MasterpieceSupplyMultiplier#1",55,0
11,"鍛冶師",56,"クラフタースクリップ:赤貨","チタンナゲット",1,False,440,340,250,60,5,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
12,"鍛冶師",56,"クラフタースクリップ:赤貨","チタンモーター",1,False,480,370,270,60,24,"MasterpieceSupplyMultiplier#1",56,0,"チタンクリナリーナイフ",1,False,480,370,270,60,22,"MasterpieceSupplyMultiplier#1",56,0,"チタンモール",1,False,480,370,270,60,21,"MasterpieceSupplyMultiplier#1",56,0,"チタンロングソード",1,False,530,410,290,60,50,"MasterpieceSupplyMultiplier#1",57,0,"チタンナックル",1,False,530,410,290,60,42,"MasterpieceSupplyMultiplier#1",57,0,"チタングレートソード",1,False,530,410,290,60,51,"MasterpieceSupplyMultiplier#1",57,0,"チタンスナップハンス",1,False,530,410,290,60,44,"MasterpieceSupplyMultiplier#1",57,0,"ハードシルバーハチェット",1,False,530,410,290,60,24,"MasterpieceSupplyMultiplier#1",57,0
13,"鍛冶師",58,"クラフタースクリップ:赤貨","アダマンブロードソード",1,False,580,450,320,60,39,"MasterpieceSupplyMultiplier#1",58,0,"アダマンジャマダル",1,False,580,450,320,60,38,"MasterpieceSupplyMultiplier#1",58,0,"アダマンビル",1,False,580,450,320,60,39,"MasterpieceSupplyMultiplier#1",58,0,"アダマンナイフ",1,False,580,450,320,60,51,"MasterpieceSupplyMultiplier#1",58,0,"アダマンツヴァイハンダー",1,False,580,450,320,60,61,"MasterpieceSupplyMultiplier#1",58,0,"アダマンリボルバー",1,False,580,450,320,60,48,"MasterpieceSupplyMultiplier#1",58,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
14,"鍛冶師",59,"クラフタースクリップ:赤貨","アダマンクローハンマー",1,False,630,490,350,60,29,"MasterpieceSupplyMultiplier#1",59,0,"アダマンファイル",1,False,630,490,350,60,24,"MasterpieceSupplyMultiplier#1",59,0,"アダマンプライヤー",1,False,630,490,350,60,30,"MasterpieceSupplyMultiplier#1",59,0,"アダマンアウル",1,False,630,490,350,60,33,"MasterpieceSupplyMultiplier#1",59,0,"アダマンモーター",1,False,630,490,350,60,34,"MasterpieceSupplyMultiplier#1",59,0,"アダマンクリナリーナイフ",1,False,630,490,350,60,25,"MasterpieceSupplyMultiplier#1",59,0,"アダマンモール",1,False,630,490,350,60,39,"MasterpieceSupplyMultiplier#1",59,0,"アダマンサイズ",1,False,630,490,350,60,20,"MasterpieceSupplyMultiplier#1",59,0
15,"甲冑師",50,"クラフタースクリップ:赤貨","ミスライトディフェンダーサレット",1,False,200,160,110,75,8,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトスレイヤータセット",1,False,200,160,110,75,5,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトスクトゥム",1,False,230,180,130,75,11,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトディフェンダーホーバーク",1,False,230,180,130,75,11,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトディフェンダーサバトン",1,False,230,180,130,75,8,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトスレイヤーホーバーク",1,False,230,180,130,75,12,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトスレイヤーガントレット",1,False,230,180,130,75,8,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトスレイヤーサバトン",1,False,230,180,130,75,8,"MasterpieceSupplyMultiplier#1",51,0
16,"甲冑師",52,"クラフタースクリップ:赤貨","ミスライトアレンビック",1,False,280,220,160,75,14,"MasterpieceSupplyMultiplier#1",52,0,"サボテンダーフライパン",1,False,280,220,160,75,14,"MasterpieceSupplyMultiplier#1",52,0,"ミスライトブレードシールド",1,False,340,270,190,75,31,"MasterpieceSupplyMultiplier#1",53,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
17,"甲冑師",54,"クラフタースクリップ:赤貨","チタン・ディフェンダープレートベルト",1,False,340,270,190,75,15,"MasterpieceSupplyMultiplier#1",53,0,"チタンスレイヤーサレット",1,False,390,300,220,75,25,"MasterpieceSupplyMultiplier#1",54,0,"チタンスカウトマスク",1,False,390,300,220,75,21,"MasterpieceSupplyMultiplier#1",54,0,"ハードシルバーアレンビック",1,False,390,300,220,75,23,"MasterpieceSupplyMultiplier#1",54,0,"チタンフライパン",1,False,390,300,220,75,26,"MasterpieceSupplyMultiplier#1",54,0,"チタンカイトシールド",1,False,430,340,240,75,35,"MasterpieceSupplyMultiplier#1",55,0,"チタンディフェンダーソルレット",1,False,430,340,240,75,28,"MasterpieceSupplyMultiplier#1",55,0,"チタンスレイヤーキュイラス",1,False,430,340,240,75,32,"MasterpieceSupplyMultiplier#1",55,0
18,"甲冑師",56,"クラフタースクリップ:赤貨","チタンナゲット",1,False,440,340,250,60,5,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
19,"甲冑師",56,"クラフタースクリップ:赤貨","チタンディフェンダータセット",1,False,480,370,270,60,36,"MasterpieceSupplyMultiplier#1",56,0,"チタンスレイヤーヴァンブレイス",1,False,480,370,270,60,46,"MasterpieceSupplyMultiplier#1",56,0,"チタンストライカーヘッドギア",1,False,480,370,270,60,40,"MasterpieceSupplyMultiplier#1",56,0,"チタンスカウトヴァンブレイス",1,False,480,370,270,60,46,"MasterpieceSupplyMultiplier#1",56,0,"チタンホプロン",1,False,530,410,290,60,38,"MasterpieceSupplyMultiplier#1",57,0,"チタンストライカーメイル",1,False,530,410,290,60,65,"MasterpieceSupplyMultiplier#1",57,0,"チタンアレンビック",1,False,530,410,290,60,40,"MasterpieceSupplyMultiplier#1",57,0,"マンドラーズフライパン",1,False,530,410,290,60,38,"MasterpieceSupplyMultiplier#1",57,0
20,"甲冑師",58,"クラフタースクリップ:赤貨","アダマンディフェンダーヘルム",1,False,580,450,320,60,40,"MasterpieceSupplyMultiplier#1",58,0,"アダマンディフェンダーガントレット",1,False,580,450,320,60,49,"MasterpieceSupplyMultiplier#1",58,0,"アダマンディフェンダータセット",1,False,580,450,320,60,38,"MasterpieceSupplyMultiplier#1",58,0,"アダマンディフェンダーサバトン",1,False,580,450,320,60,49,"MasterpieceSupplyMultiplier#1",58,0,"アダマンスレイヤーヘルム",1,False,580,450,320,60,47,"MasterpieceSupplyMultiplier#1",58,0,"アダマンスレイヤーガントレット",1,False,580,450,320,60,51,"MasterpieceSupplyMultiplier#1",58,0,"アダマンスレイヤータセット",1,False,580,450,320,60,38,"MasterpieceSupplyMultiplier#1",58,0,"アダマンスレイヤーサバトン",1,False,580,450,320,60,51,"MasterpieceSupplyMultiplier#1",58,0
21,"甲冑師",59,"クラフタースクリップ:赤貨","アダマンスクトゥム",1,False,630,490,350,60,42,"MasterpieceSupplyMultiplier#1",59,0,"アダマンディフェンダーアーマー",1,False,630,490,350,60,66,"MasterpieceSupplyMultiplier#1",59,0,"アダマン・ディフェンダーチェーンホーズ",1,False,630,490,350,60,66,"MasterpieceSupplyMultiplier#1",59,0,"アダマンスレイヤーアーマー",1,False,630,490,350,60,69,"MasterpieceSupplyMultiplier#1",59,0,"アダマン・スレイヤーチェーンホーズ",1,False,630,490,350,60,66,"MasterpieceSupplyMultiplier#1",59,0,"アダマンディフェンダーサークレット",1,False,630,490,350,60,41,"MasterpieceSupplyMultiplier#1",59,0,"アダマン・ディフェンダープレートベルト",1,False,630,490,350,60,31,"MasterpieceSupplyMultiplier#1",59,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
22,"彫金師",50,"クラフタースクリップ:赤貨","アゲートディフェンダーリング",1,False,200,160,110,75,2,"MasterpieceSupplyMultiplier#1",51,0,"アゲートレンジャーリング",1,False,200,160,110,75,2,"MasterpieceSupplyMultiplier#1",51,0,"アゲートヒーラーリング",1,False,200,160,110,75,2,"MasterpieceSupplyMultiplier#1",51,0,"イエティスタッフ",1,False,230,180,130,75,6,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトストライカーサークレット",1,False,230,180,130,75,5,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトアタッカーバングル",1,False,230,180,130,75,7,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトキャスターイヤリング",1,False,230,180,130,75,5,"MasterpieceSupplyMultiplier#1",51,0,"ミスライトギャザラーゴーグル",1,False,230,180,130,75,7,"MasterpieceSupplyMultiplier#1",51,0
23,"彫金師",52,"クラフタースクリップ:赤貨","ミスライトディフェンダーピアス",1,False,280,220,160,75,10,"MasterpieceSupplyMultiplier#1",52,0,"ミスライトヒーラーブレスレット",1,False,280,220,160,75,14,"MasterpieceSupplyMultiplier#1",52,0,"ミスライトニードル",1,False,280,220,160,75,11,"MasterpieceSupplyMultiplier#1",52,0,"イエティファングイヤリング",1,False,280,220,160,75,8,"MasterpieceSupplyMultiplier#1",52,0,"ミスライトプラニスフィア",1,False,340,270,190,75,27,"MasterpieceSupplyMultiplier#1",53,0,"イエティファング・アタッカーリング",1,False,340,270,190,75,14,"MasterpieceSupplyMultiplier#1",53,0,"ミスライトレンジャーネックレス",1,False,340,270,190,75,17,"MasterpieceSupplyMultiplier#1",53,0,"イエティファング・キャスターリング",1,False,340,270,190,75,14,"MasterpieceSupplyMultiplier#1",53,0
24,"彫金師",54,"クラフタースクリップ:赤貨","ハードシルバースタッフ",1,False,390,300,220,75,26,"MasterpieceSupplyMultiplier#1",54,0,"ハードシルバーモノクル",1,False,390,300,220,75,18,"MasterpieceSupplyMultiplier#1",54,0,"モルモリオンアタッカーリング",1,False,390,300,220,75,19,"MasterpieceSupplyMultiplier#1",54,0,"ハードシルバーニードル",1,False,390,300,220,75,23,"MasterpieceSupplyMultiplier#1",54,0,"ハードシルバー・スターグローブ",1,False,430,340,240,75,30,"MasterpieceSupplyMultiplier#1",55,0,"ハードシルバー・ディフェンダーイヤリング",1,False,430,340,240,75,29,"MasterpieceSupplyMultiplier#1",55,0,"ハードシルバー・レンジャーバングル",1,False,430,340,240,75,33,"MasterpieceSupplyMultiplier#1",55,0,"ハードシルバー・ヒーラーイヤリング",1,False,430,340,240,75,29,"MasterpieceSupplyMultiplier#1",55,0
25,"彫金師",56,"クラフタースクリップ:赤貨","スタールビー",1,False,460,360,260,60,3,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
26,"彫金師",56,"クラフタースクリップ:赤貨","オパールアタッカーリング",1,False,480,370,270,60,27,"MasterpieceSupplyMultiplier#1",56,0,"オパールキャスターブレスレット",1,False,480,370,270,60,56,"MasterpieceSupplyMultiplier#1",56,0,"ドラゴンファングニードル",1,False,480,370,270,60,19,"MasterpieceSupplyMultiplier#1",56,0,"ドラゴンファングイヤリング",1,False,480,370,270,60,14,"MasterpieceSupplyMultiplier#1",56,0,"ハードシルバーポール",1,False,530,410,290,60,40,"MasterpieceSupplyMultiplier#1",57,0,"オパールディフェンダーイヤリング",1,False,530,410,290,60,46,"MasterpieceSupplyMultiplier#1",57,0,"オパールレンジャーイヤリング",1,False,530,410,290,60,46,"MasterpieceSupplyMultiplier#1",57,0,"ハードシルバー・ギャザラーイヤリング",1,False,530,410,290,60,21,"MasterpieceSupplyMultiplier#1",57,0
27,"彫金師",58,"クラフタースクリップ:赤貨","オーラムレギス・ディフェンダーブレスレット",1,False,580,450,320,60,30,"MasterpieceSupplyMultiplier#1",58,0,"オーラムレギス・アタッカーブレスレット",1,False,580,450,320,60,34,"MasterpieceSupplyMultiplier#1",58,0,"オーラムレギス・アタッカーピアス",1,False,580,450,320,60,47,"MasterpieceSupplyMultiplier#1",58,0,"オーラムレギス・レンジャーブレスレット",1,False,580,450,320,60,34,"MasterpieceSupplyMultiplier#1",58,0,"オーラムレギス・ヒーラーピアス",1,False,580,450,320,60,47,"MasterpieceSupplyMultiplier#1",58,0,"オーラムレギス・キャスターブレスレット",1,False,580,450,320,60,33,"MasterpieceSupplyMultiplier#1",58,0,"オーラムレギス・キャスターピアス",1,False,580,450,320,60,47,"MasterpieceSupplyMultiplier#1",58,0,"ゴブリンジグ",1,False,580,450,320,60,12,"MasterpieceSupplyMultiplier#1",58,0
28,"彫金師",59,"クラフタースクリップ:赤貨","オーラムレギス・ロングポール",1,False,630,490,350,60,28,"MasterpieceSupplyMultiplier#1",59,0,"オーラムレギスオーラリー",1,False,630,490,350,60,43,"MasterpieceSupplyMultiplier#1",59,0,"グリフィンクロー・ディフェンダーリング",1,False,630,490,350,60,17,"MasterpieceSupplyMultiplier#1",59,0,"グリフィンクロー・アタッカーリング",1,False,630,490,350,60,21,"MasterpieceSupplyMultiplier#1",59,0,"グリフィンクロー・ヒーラーリング",1,False,630,490,350,60,21,"MasterpieceSupplyMultiplier#1",59,0,"シトリンディフェンダーチョーカー",1,False,630,490,350,60,24,"MasterpieceSupplyMultiplier#1",59,0,"シトリンレンジャーチョーカー",1,False,630,490,350,60,27,"MasterpieceSupplyMultiplier#1",59,0,"シトリンキャスターチョーカー",1,False,630,490,350,60,26,"MasterpieceSupplyMultiplier#1",59,0
