key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
12,"ContentsNoteCategory#4",61811,2,20,5,15,3,2000,0,"HowTo#0",0,"リーヴ：達成回数","リーヴを20回達成する",583200
13,"ContentsNoteCategory#8",61812,1,10,0,0,6,1000,0,"HowTo#89",0,"軍需品・補給品調達：納品回数","軍需品・補給品調達を10回納品する",0
14,"ContentsNoteCategory#8",61812,2,5,0,0,6,1000,0,"HowTo#89",0,"軍需品・補給品調達：HQ納品回数","軍需品・補給品調達で、HQアイテムを5回納品する",0
15,"ContentsNoteCategory#6",61808,1,3,0,0,3,1000,0,"HowTo#149",0,"トレジャーハント：地図採集回数","古ぼけた地図を3回採集する",0
16,"ContentsNoteCategory#6",61808,2,5,0,0,3,2000,0,"HowTo#149",0,"トレジャーハント：宝獲得回数","トレジャーハントで宝箱を開け、宝を5回獲得する",0
17,"ContentsNoteCategory#1",61813,6,20,7,5,3,1000,0,"HowTo#96",0,"バディ：討伐数1","バディと共に、レベルの近い敵を20体討伐する",0
18,"ContentsNoteCategory#1",61813,7,100,7,10,3,2000,0,"HowTo#96",0,"バディ：討伐数2","バディと共に、レベルの近い敵を100体討伐する",0
19,"ContentsNoteCategory#7",61814,1,5,0,0,3,1000,0,"HowTo#152",0,"蛮族クエスト：コンプリート回数1","蛮族デイリークエストを5回コンプリートする",0
20,"ContentsNoteCategory#7",61814,2,15,0,0,3,2000,0,"HowTo#152",0,"蛮族クエスト：コンプリート回数2","蛮族デイリークエストを15回コンプリートする",0
21,"ContentsNoteCategory#12",61810,1,5,0,0,3,10000,0,"HowTo#0",0,"攻略手帳：達成数1","攻略手帳の課題を、5種類達成する",0
22,"ContentsNoteCategory#12",61810,2,10,0,0,3,10000,0,"HowTo#0",0,"攻略手帳：達成数2","攻略手帳の課題を、10種類達成する",0
23,"ContentsNoteCategory#12",61810,3,15,0,0,3,10000,20,"HowTo#0",0,"攻略手帳：達成数3","攻略手帳の課題を、15種類達成する",0
24,"ContentsNoteCategory#12",61810,4,20,0,0,3,10000,30,"HowTo#0",0,"攻略手帳：達成数4","攻略手帳の課題を、20種類達成する",0
25,"ContentsNoteCategory#1",61817,5,5,5,10,3,1000,0,"HowTo#160",0,"MIP推薦","MIP推薦を計5回投票する",388800
26,"ContentsNoteCategory#5",61815,4,100,5,5,3,1000,0,"HowTo#0",0,"採集活動","採掘師か園芸師で、採集レベルが近いアイテムを
100回採集する",0
27,"ContentsNoteCategory#5",61815,5,30,5,5,3,2000,0,"HowTo#0",0,"採集活動：HQ","採掘師か園芸師で、採集レベルが近いHQアイテムを30回採集する",0
28,"ContentsNoteCategory#5",61815,6,30,5,5,3,1000,0,"HowTo#0",0,"釣り","漁師で30回釣り上げる",0
29,"ContentsNoteCategory#5",61815,7,10,5,5,3,2000,0,"HowTo#0",0,"釣り：HQ","漁師で10回HQアイテムを釣り上げる",0
30,"ContentsNoteCategory#5",61816,1,30,5,10,3,1000,0,"HowTo#0",0,"製作活動","30回製作をする",0
31,"ContentsNoteCategory#5",61816,2,20,5,10,3,2000,0,"HowTo#0",0,"製作活動：HQ","20回HQアイテムを製作する",0
32,"ContentsNoteCategory#5",61816,3,5,5,10,3,2000,0,"HowTo#98",0,"マテリア装着","マテリア装着を5回成功させる",0
33,"ContentsNoteCategory#9",61818,1,10,0,0,3,1000,0,"HowTo#168",0,"リテイナーベンチャー：完了回数","リテイナーベンチャーの依頼を、10回完了させる",0
34,"ContentsNoteCategory#9",61818,2,15,0,0,3,4000,0,"HowTo#169",0,"リテイナーベンチャー：探索回数","リテイナーベンチャーの探索依頼を、15回完了させる",0
35,"ContentsNoteCategory#2",61806,3,7,0,0,9,1000,0,"HowTo#176",0,"アウトロー戦区：参戦回数","アウトロー戦区に7回参戦する",0
36,"ContentsNoteCategory#2",61806,4,3,0,0,9,1000,0,"HowTo#176",0,"アウトロー戦区：勝利回数","アウトロー戦区で3回勝利する",0
37,"ContentsNoteCategory#10",61820,1,3,0,0,8,1000,0,"HowTo#201",0,"ミニゲーム：達成回数","ミニゲームを3回達成する",0
38,"ContentsNoteCategory#10",61820,2,100,0,0,8,1500,0,"HowTo#201",0,"ミニゲーム：獲得MGP","ミニゲームで100MGP獲得する",0
39,"ContentsNoteCategory#10",61820,3,5,0,0,8,5000,0,"HowTo#201",0,"G.A.T.E.：参加回数","G.A.T.E.に5回参加する",0
40,"ContentsNoteCategory#10",61820,4,3,0,0,8,8000,0,"HowTo#201",0,"G.A.T.E.：達成回数","G.A.T.E.を3回達成する",0
41,"ContentsNoteCategory#10",61820,5,3,0,0,8,5000,0,"HowTo#196",0,"チョコボレース：出走回数1","チョコボレースに3回出走する",0
42,"ContentsNoteCategory#10",61820,6,20,0,0,8,8000,0,"HowTo#196",0,"チョコボレース：出走回数2","チョコボレースに20回出走する",0
43,"ContentsNoteCategory#10",61820,7,1,0,0,8,5000,0,"HowTo#196",0,"チョコボレース：勝利回数1","チョコボレースで1回勝利する",0
44,"ContentsNoteCategory#10",61820,8,10,0,0,8,8000,0,"HowTo#196",0,"チョコボレース：勝利回数2","チョコボレースで10回勝利する",0
45,"ContentsNoteCategory#10",61820,9,10,0,0,8,5000,0,"HowTo#199",0,"トリプルトライアド：対戦回数","トリプルトライアドで10回対戦する",0
46,"ContentsNoteCategory#10",61820,10,10,0,0,8,8000,0,"HowTo#199",0,"トリプルトライアド：勝利回数","トリプルトライアドの対戦で10回勝利する",0
47,"ContentsNoteCategory#10",61820,14,3,0,0,8,10000,0,"HowTo#224",0,"ロード・オブ・ヴァーミニオン：対戦回数2","ロード・オブ・ヴァーミニオンで3回対戦する",0
48,"ContentsNoteCategory#12",61810,5,30,0,0,3,15000,30,"HowTo#0",0,"攻略手帳：達成数5","攻略手帳の課題を、30種類達成する",0
49,"ContentsNoteCategory#10",61820,11,5,0,0,8,2500,0,"HowTo#200",0,"カードバトルルーム：対戦回数","カードバトルルームに入り、
トリプルトライアドで5回対戦する",0
50,"ContentsNoteCategory#10",61820,12,3,0,0,8,3000,0,"HowTo#200",0,"カードバトルルーム：勝利回数","カードバトルルームに入り、
トリプルトライアドの対戦で3回勝利する",0
51,"ContentsNoteCategory#5",61827,10,6,0,0,3,1000,60,"HowTo#219",0,"お得意様取引：納品回数","お得意様に6回納品する",0
52,"ContentsNoteCategory#5",61815,8,50,5,5,3,1000,0,"HowTo#243",0,"刺突漁","刺突漁でアイテムを50回採集する",0
53,"ContentsNoteCategory#5",61815,9,20,5,5,3,2000,0,"HowTo#243",0,"刺突漁：HQ","刺突漁でHQアイテムを20回採集する",0
54,"ContentsNoteCategory#2",61806,5,10,0,0,9,1000,0,"HowTo#240",0,"ライバルウィングズ：参加回数","ライバルウィングズに10回参戦する",0
55,"ContentsNoteCategory#2",61806,6,5,0,0,9,1000,0,"HowTo#240",0,"ライバルウィングズ：勝利回数","ライバルウィングズで5回勝利する",0
56,"ContentsNoteCategory#11",61833,1,30,10,5,3,1000,0,"HowTo#251",0,"エウレカ：雷氷属性討伐数1","自身より-2以上のエレメンタルレベルを持つ雷・氷属性のエネミーを30体倒す",0
57,"ContentsNoteCategory#11",61833,2,60,10,15,3,1000,0,"HowTo#251",0,"エウレカ：雷氷属性討伐数2","自身より-2以上のエレメンタルレベルを持つ雷・氷属性のエネミーを60体倒す",0
58,"ContentsNoteCategory#11",61833,3,30,10,5,3,1000,0,"HowTo#251",0,"エウレカ：火土属性討伐数1","自身より-2以上のエレメンタルレベルを持つ火・土属性のエネミーを30体倒す",0
59,"ContentsNoteCategory#11",61833,4,60,10,15,3,1000,0,"HowTo#251",0,"エウレカ：火土属性討伐数2","自身より-2以上のエレメンタルレベルを持つ火・土属性のエネミーを60体倒す",0
60,"ContentsNoteCategory#11",61833,5,30,10,5,3,1000,0,"HowTo#251",0,"エウレカ：水風属性討伐数1","自身より-2以上のエレメンタルレベルを持つ水・風属性のエネミーを30体倒す",0
61,"ContentsNoteCategory#11",61833,6,60,10,15,3,1000,0,"HowTo#251",0,"エウレカ：水風属性討伐数2","自身より-2以上のエレメンタルレベルを持つ水・風属性のエネミーを60体倒す",0
62,"ContentsNoteCategory#11",61833,7,20,10,5,3,1000,0,"HowTo#251",0,"エウレカ：アンデッド討伐数1","自身と同等以上のエレメンタルレベルを持つアンデッド系エネミーを20体倒す",0
63,"ContentsNoteCategory#11",61833,8,40,10,15,3,1000,0,"HowTo#251",0,"エウレカ：アンデッド討伐数2","自身と同等以上のエレメンタルレベルを持つアンデッド系エネミーを40体倒す",0
64,"ContentsNoteCategory#11",61833,9,10,10,5,3,1000,0,"HowTo#251",0,"エウレカ：スプライト討伐数1","自身と同等以上のエレメンタルレベルを持つスプライト系エネミーを10体倒す",0
65,"ContentsNoteCategory#11",61833,10,20,10,15,3,1000,0,"HowTo#251",0,"エウレカ：スプライト討伐数2","自身と同等以上のエレメンタルレベルを持つスプライト系エネミーを20体倒す",0
66,"ContentsNoteCategory#10",61820,13,1,0,0,8,5000,0,"HowTo#224",0,"ロード・オブ・ヴァーミニオン：対戦回数1","ロード・オブ・ヴァーミニオンで1回対戦する",0
67,"ContentsNoteCategory#10",61820,15,5,0,0,8,12000,0,"HowTo#224",0,"ロード・オブ・ヴァーミニオン：対戦回数3","ロード・オブ・ヴァーミニオンで5回対戦する",0
68,"ContentsNoteCategory#8",61812,3,3,0,0,6,5000,0,"HowTo#0",372,"攻略任務：達成回数","攻略任務を3回達成する",0
69,"ContentsNoteCategory#10",61820,16,2,0,0,8,5000,0,"HowTo#0",68737,"ドマ式麻雀：対戦回数","ドマ式麻雀にて、プレイヤー対戦に2回参加する",0
70,"ContentsNoteCategory#0",0,0,0,0,0,0,0,0,"HowTo#0",0,"","",0
71,"ContentsNoteCategory#0",0,0,0,0,0,0,0,0,"HowTo#0",0,"","",0
72,"ContentsNoteCategory#0",0,0,0,0,0,0,0,0,"HowTo#0",0,"","",0
