key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
16,10018,"鍛冶","RecipeLevelTable#7","チェーサーハンマー",1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
17,10017,"鍛冶","RecipeLevelTable#7","ラブリュス",1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
18,10021,"鍛冶","RecipeLevelTable#8","ピック",1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
19,10020,"鍛冶","RecipeLevelTable#8","ヘッドナイフ",1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
20,10022,"鍛冶","RecipeLevelTable#9","クラウドアクス",1,1750,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
21,10023,"鍛冶","RecipeLevelTable#9","クローハンマー",1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
22,10026,"鍛冶","RecipeLevelTable#10","ファイル",1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
23,10027,"鍛冶","RecipeLevelTable#10","プライヤー",1,5056,1,5091,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
24,10029,"鍛冶","RecipeLevelTable#10","モーター",1,5056,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
25,10025,"鍛冶","RecipeLevelTable#10","アマチュア・クロスペインハンマー",1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
26,10028,"鍛冶","RecipeLevelTable#10","アマチュアチェーサーハンマー",1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
27,10032,"鍛冶","RecipeLevelTable#11","アウル",1,5056,1,5364,1,5483,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
28,10034,"鍛冶","RecipeLevelTable#11","サイズ",1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
29,10030,"鍛冶","RecipeLevelTable#11","アマチュアドーミングハンマー",1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
30,10033,"鍛冶","RecipeLevelTable#11","アマチュアピック",1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
31,10031,"鍛冶","RecipeLevelTable#11","アマチュアヘッドナイフ",1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
32,10037,"鍛冶","RecipeLevelTable#12","クリナリーナイフ",1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
33,10038,"鍛冶","RecipeLevelTable#12","モール",1,5056,1,5364,1,5503,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
34,10035,"鍛冶","RecipeLevelTable#12","アマチュアソー",1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
35,10039,"鍛冶","RecipeLevelTable#12","アマチュアハチェット",1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
36,10036,"鍛冶","RecipeLevelTable#12","オーナメンタルハンマー",1,2393,1,5091,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
37,10041,"鍛冶","RecipeLevelTable#13","メタルナックル",1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
38,10040,"鍛冶","RecipeLevelTable#13","スパタ",1,5056,1,5276,1,5434,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
39,10042,"鍛冶","RecipeLevelTable#14","スパイクドラブリュス",1,5056,3,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
40,10044,"鍛冶","RecipeLevelTable#14","ブラスヘッドナイフ",1,2417,1,5258,1,5063,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
41,10046,"鍛冶","RecipeLevelTable#15","バードビークハンマー",1,5056,1,5325,1,5364,1,5483,1,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
42,10047,"鍛冶","RecipeLevelTable#15","レイジングハンマー",1,5056,1,5071,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
43,10048,"鍛冶","RecipeLevelTable#16","アイアンインゴット",1,5111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,False,50,50,100,58,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
44,10054,"鍛冶","RecipeLevelTable#16","プルームドピック",1,2520,1,5276,1,5352,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
45,10050,"鍛冶","RecipeLevelTable#16","ブラスバスタードソード",1,1602,1,5063,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
46,10053,"鍛冶","RecipeLevelTable#16","チョコボテイルソー",1,2316,1,5091,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
47,10051,"鍛冶","RecipeLevelTable#16","ブラスナックル",1,1684,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
48,10055,"鍛冶","RecipeLevelTable#17","アイアンウォーアクス",1,5057,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
49,10057,"鍛冶","RecipeLevelTable#17","アイアンハチェット",1,5057,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
50,10056,"鍛冶","RecipeLevelTable#17","アイアンラブリュス",1,5057,2,5367,1,5276,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
51,10058,"鍛冶","RecipeLevelTable#18","アイアンリベット",1,5057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,False,50,50,100,58,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
52,10059,"鍛冶","RecipeLevelTable#18","アイアン・クロスペインハンマー",1,5057,1,5325,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
53,10061,"鍛冶","RecipeLevelTable#18","アイアンチェーサーハンマー",1,5057,1,5092,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
54,10060,"鍛冶","RecipeLevelTable#18","アイアンドーミングハンマー",1,5057,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
55,10063,"鍛冶","RecipeLevelTable#19","アイアンアウル",1,5057,1,5367,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
56,10065,"鍛冶","RecipeLevelTable#19","イニシエートハチェット",1,5057,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
57,10062,"鍛冶","RecipeLevelTable#19","イニシエートヘッドナイフ",1,5057,1,5364,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
58,10064,"鍛冶","RecipeLevelTable#19","イニシエートモール",1,5057,1,5367,1,5504,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
59,10066,"鍛冶","RecipeLevelTable#20","ブラスヴァイキングソード",1,1603,1,5063,1,5277,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
60,10071,"鍛冶","RecipeLevelTable#20","アイアンピック",1,5057,1,5325,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
61,10069,"鍛冶","RecipeLevelTable#20","イニシエートソー",1,5057,1,5092,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
62,10070,"鍛冶","RecipeLevelTable#20","アイアンクローハンマー",1,5057,1,5367,1,5483,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
63,10067,"鍛冶","RecipeLevelTable#20","カルネージソード",1,1607,1,5277,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
64,10077,"鍛冶","RecipeLevelTable#21","アイアンクリナリーナイフ",1,5057,1,5367,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
65,10078,"鍛冶","RecipeLevelTable#21","アイアンサイズ",1,5057,1,5367,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
66,10076,"鍛冶","RecipeLevelTable#21","アイアンモーター",1,5057,2,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
67,10072,"鍛冶","RecipeLevelTable#21","インフェルノアクス",1,1754,1,5057,1,5063,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
68,10073,"鍛冶","RecipeLevelTable#21","イニシエート・クロスペインハンマー",1,5057,1,5325,1,5368,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
69,10075,"鍛冶","RecipeLevelTable#21","イニシエートチェーサーハンマー",1,5057,1,5092,1,5368,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
70,10074,"鍛冶","RecipeLevelTable#21","イニシエートドーミングハンマー",1,5057,1,5368,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
71,10081,"鍛冶","RecipeLevelTable#22","アイアンファイル",1,5057,2,5277,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
72,10082,"鍛冶","RecipeLevelTable#22","アイアンプライヤー",1,5057,1,5092,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
73,10083,"鍛冶","RecipeLevelTable#22","イニシエートピック",1,5057,1,5325,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
74,10079,"鍛冶","RecipeLevelTable#22","ショートソード",1,5057,2,5367,1,5277,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
75,10086,"鍛冶","RecipeLevelTable#23","アイアンモール",1,5057,1,5367,1,5504,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
76,10085,"鍛冶","RecipeLevelTable#23","イニシエートアウル",1,5057,1,5368,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
77,10084,"鍛冶","RecipeLevelTable#23","スパイクナックル",1,5072,1,5057,1,5277,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
78,10087,"鍛冶","RecipeLevelTable#24","ビル",1,5057,2,5368,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
79,10091,"鍛冶","RecipeLevelTable#24","ブラスハチェット",1,2549,1,5063,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
80,10088,"鍛冶","RecipeLevelTable#24","レリーフアイアンソー",1,5057,1,5092,1,5367,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
81,10089,"鍛冶","RecipeLevelTable#24","イニシエートクローハンマー",1,5057,1,5368,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
82,10090,"鍛冶","RecipeLevelTable#24","イニシエートモーター",1,5057,2,5368,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
83,10093,"鍛冶","RecipeLevelTable#25","ラウンドナイフ",1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
84,10092,"鍛冶","RecipeLevelTable#25","アイアンスパタ",1,5057,1,5277,1,5435,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
85,10094,"鍛冶","RecipeLevelTable#25","イニシエートクリナリーナイフ",1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
86,10095,"鍛冶","RecipeLevelTable#25","イニシエートサイズ",1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
87,10096,"鍛冶","RecipeLevelTable#26","スチールインゴット",1,5528,1,5111,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,0,0,False,50,50,100,58,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
88,10101,"鍛冶","RecipeLevelTable#26","アイアンオーナメンタルハンマー",1,2396,1,5092,1,5063,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
89,10100,"鍛冶","RecipeLevelTable#26","アイアンレイジングハンマー",1,5057,1,5072,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
90,10099,"鍛冶","RecipeLevelTable#26","クロウビークハンマー",1,5057,1,5325,1,5371,1,4856,1,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
91,10097,"鍛冶","RecipeLevelTable#26","サンダーストームアクス",1,1758,1,5057,1,5064,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
92,10103,"鍛冶","RecipeLevelTable#27","イニシエートファイル",1,5057,2,5280,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
93,10104,"鍛冶","RecipeLevelTable#27","イニシエートプライヤー",1,5057,1,5092,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
94,10105,"鍛冶","RecipeLevelTable#27","ドラブラ",1,5057,1,5072,1,5371,1,5277,1,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
95,10106,"鍛冶","RecipeLevelTable#28","ブロードソード",1,5058,1,5371,1,5444,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
96,10108,"鍛冶","RecipeLevelTable#28","アイアン・チョコボテイルソー",1,5057,1,5092,1,5371,1,5063,1,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
97,10107,"鍛冶","RecipeLevelTable#28","スパイクドスチールラブリュス",1,5058,3,5371,1,5280,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
98,10109,"鍛冶","RecipeLevelTable#29","スチールリベット",1,5058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,0,0,False,50,50,100,58,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
99,10113,"鍛冶","RecipeLevelTable#29","アイアンヘッドナイフ",1,5057,1,5371,1,5259,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
100,10114,"鍛冶","RecipeLevelTable#29","チョコボハチェット",1,5057,1,5371,1,5359,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
101,10111,"鍛冶","RecipeLevelTable#29","ヘヴィ・クロウビークハンマー",1,2346,1,5057,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
102,10110,"鍛冶","RecipeLevelTable#29","メタルクロー",1,5073,1,5058,1,5371,1,5504,1,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
103,10112,"鍛冶","RecipeLevelTable#29","ラップドレイジングハンマー",1,2372,1,5371,1,5280,1,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
104,10117,"鍛冶","RecipeLevelTable#30","スチールチェーサーハンマー",1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
105,10119,"鍛冶","RecipeLevelTable#30","スチールピック",1,5058,1,5326,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
106,10120,"鍛冶","RecipeLevelTable#30","スチールモール",1,5058,1,5371,1,5504,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
107,10118,"鍛冶","RecipeLevelTable#30","シルバーヘッドナイフ",1,2422,1,5259,1,5064,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,150,75,100,0,0,0,0,0,"",0,False,True,True,"","",False,False,0
108,10116,"鍛冶","RecipeLevelTable#30","レリーフスチールソー",1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
109,10123,"鍛冶","RecipeLevelTable#31","スチールアウル",1,5058,1,5371,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
110,10122,"鍛冶","RecipeLevelTable#31","スチールクローハンマー",1,5058,1,5371,1,5484,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
111,10121,"鍛冶","RecipeLevelTable#31","スチールファルシオン",1,5058,2,5371,1,5260,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
